owner,amount_ui,amount_raw,classification
2TLtmjRQqv9jLuaaGNhNYeaqFWv1s1jS8c3PE2VvQMx9,18.43791772,1843791772,REAL_HOLDER
Anms3Yo154DRaFi4JsLXNyPSu4M2FEQCirLxU86QowbF,18.25393011,1825393011,REAL_HOLDER
EnHUT7yvWGvAb6Zq4GncBAwSqCsHw6HHUaBvJjn1zETw,18.1120965,1811209650,REAL_HOLDER
45VphUa3NuQWmK3iL2FYQWme5DjpuBDVuv2zwMjCoPgk,17.96394819,1796394819,REAL_HOLDER
CsHaDVqeUi1mtsHPxVgGBv1RDLY33vSAUHXtHdrVb4ev,17.86080453,1786080453,REAL_HOLDER
7uS3LxEDbAvDDUcfmqmm49ZTKjNuM6upwJK13Mxwx8T3,17.77469327,1777469327,REAL_HOLDER
3ZTCbCoup3c1rRTUHQyZHoQ8nZXW6UmWrHPdfGkHM15A,17.69314804,1769314804,REAL_HOLDER
Fq9nNqmcjTMQzWWQ16w6Ez8jZxF474nrtaxudnwwXVnt,17.53449288,1753449288,REAL_HOLDER
HPA4Dq3TxyaTT3PVnzGnUA5diLZ2C8ai3bLshUCRancA,17.47905583,1747905583,REAL_HOLDER
Hs5rpNo97yjtyL39F1D6sZinZBG5M5YtCzNzrn1TDBxy,17.37058151,1737058151,REAL_HOLDER
CMcrmVVzWME1SKKdJeSqKgTDdg5KD5JhhRY4Xq3PLeT3,17.36136721,1736136721,REAL_HOLDER
HkTffWSA7asa8MPmbGX9Xa2jvfLUUhmokRiM4bzhUa3K,17.21584154,1721584154,REAL_HOLDER
65H5dtLbHV7UyZ9BjNFivAyzgy35MTmfra5YALXV1VfE,17.1,1710000000,REAL_HOLDER
Esg1MvLp3YJqYzC1co7nU3BJCgMpdhkNYHdgmidMUGdz,17,1700000000,REAL_HOLDER
EHD2qZ38UrZzQi3MEMxE8QtXTnvPWRXp5fx4inSe6obn,16.70407177,1670407177,REAL_HOLDER
2sH3iiZ9WZXEDxBc3prHg15JQDSNk4fasSSAUaRkGWjb,16.64470484,1664470484,REAL_HOLDER
Ajapw9iKetvtWd2WwRzTBG7QSYbLJc69RzSQP8Tp1Byo,16.45635433,1645635433,REAL_HOLDER
7Q3pS5M4Zo3MqSTu4rZ9TteZBTcyn731v9vb3sM5zR6b,16.38302106,1638302106,REAL_HOLDER
HTTpHqbHA3FaAg8Skbx7mhaWWk7QeeoXa9TvzmmMi8yM,16.35135056,1635135056,REAL_HOLDER
LTx45tA1AzWtSa3nxvPur6sCmGaA4tFXhQB6ZGSUWAQ,16.31978621,1631978621,REAL_HOLDER
5tw9ur3eSmKhEScRmsuKzSmXwjA6TCQkV1aDjgdWrAXL,16.28848266,1628848266,REAL_HOLDER
5DKuCpR4kGciXsdhgkZqGf4DHnjjUi1RxpVGcnh3R3sC,16.27994626,1627994626,REAL_HOLDER
2ZtNdafBFX7qypQvTjvrP3dEfjTPDmy7HjQ5BqiH72hR,16.22870339,1622870339,REAL_HOLDER
4EbRCwPuA1gyXSj5mmy4CA8gVdfoAAUhfpMMDSf5hY9w,16.17739368,1617739368,REAL_HOLDER
HnYEttvvRz3yCB1KJcMpH4x5fQwXYhFnrMDDiwZdfs7H,16.15546527,1615546527,REAL_HOLDER
8N1HyPCxPaPVTebcHeJmtTyypoFUoKs1LMXBmHZjAhaj,16.11403068,1611403068,REAL_HOLDER
DrbRLvLWabgrfDCmvNawDbKvaYXPx3ApEE7Yt93V4r1K,15.99020095,1599020095,REAL_HOLDER
6MjzzCT99oer8wXCvPmgWzpD1EQz8bCrSA6LSEvghN7e,15.85434147,1585434147,REAL_HOLDER
BEGYVAU2BjBkNsT1jJYeN6HqSe5w2E7aWizHRJVT6xuh,15.83154798,1583154798,REAL_HOLDER
egodZWe422sifeQX2sNeGgW5cKm9oKbdZNd3QbKeqHU,15.71692459,1571692459,REAL_HOLDER
7Bn6BEd7w6F4vntdhpyCpMcyyC8eCn6PQXC12AnsyCWr,15.62742261,1562742261,REAL_HOLDER
4i4d1KQZtsirNmXCLddrEAq82tQhsVzqT9ya9oC8WD6d,15.61214929,1561214929,REAL_HOLDER
4o7w1MneBRaHpr3W7fhqK528vVCy7MiN7midRxPPygq2,15.52801636,1552801636,REAL_HOLDER
EiiAnQsfcruxHFkDabAmH4gzqLUZoEVwRuqEFQGP11xw,15.261785,1526178500,REAL_HOLDER
