owner,amount_ui,amount_raw
8N1HyPCxPaPVTebcHeJmtTyypoFUoKs1LMXBmHZjAhaj,16.11403068,1611403068
DrbRLvLWabgrfDCmvNawDbKvaYXPx3ApEE7Yt93V4r1K,15.99020095,1599020095
6MjzzCT99oer8wXCvPmgWzpD1EQz8bCrSA6LSEvghN7e,15.85434147,1585434147
BEGYVAU2BjBkNsT1jJYeN6HqSe5w2E7aWizHRJVT6xuh,15.83154798,1583154798
egodZWe422sifeQX2sNeGgW5cKm9oKbdZNd3QbKeqHU,15.71692459,1571692459
7Bn6BEd7w6F4vntdhpyCpMcyyC8eCn6PQXC12AnsyCWr,15.62742261,1562742261
4i4d1KQZtsirNmXCLddrEAq82tQhsVzqT9ya9oC8WD6d,15.61214929,1561214929
4o7w1MneBRaHpr3W7fhqK528vVCy7MiN7midRxPPygq2,15.52801636,1552801636
EiiAnQsfcruxHFkDabAmH4gzqLUZoEVwRuqEFQGP11xw,15.261785,1526178500
jow1E5QQQd3EeWwpcdMBByysuSnmVazAJbkFGZTZsd6,15.1189131,1511891310
YJ3uEp3SjWvj8bwMtQER9PvUh9WKG5BmENVgrCAbMc8,15.09097017,1509097017
Hn71JwuWcHnn1ndZsDv5mT7gQBaqF67V5Z1sH97TPrNo,15.08261736,1508261736
9j3iFkor2Bug81DCBRMnWERq8Urtd3azmWBo4dTWqBEP,15.07958677,1507958677
3FtKkgvs2KmCv9zW9TLtoNwjbwKhCmYTKqiwCjycX1hD,15.04705076,1504705076
8mVjJ62tEkrgDj6pGoCozMRrDYpVuYDg5X9QgvPMgfg7,15.01626396,1501626396
BXy7JRc27tRo9CHQQzMcqafUGjtDHkqvQoFcKoh6wmFv,15.00548554,1500548554
9NDCt7fBqp6cQmTeVtWFFySQLWwMYVWZtZGthVJWLggd,14.997,1499700000
3rtzo2X9oRL8RxvXVtCRBV5etEwfNJEfnQjKfxAgCzf7,14.87530675,1487530675
ATTd5DEboLhtyYaZNHVaFi9sJe4FkM3h4x2B6qLLB5Cj,14.84099824,1484099824
7k4B7jqvyHsJd3BsKm8JPsxs969CG1m4xNTKEg8H3ypP,14.73522329,1473522329
FfNqdfPHrY4WNzhVwzNra7wPtEXBP5iNLNpih3K391A2,14.71176804,1471176804
6r2Lkza8gE3BEsMUuar76G1W7TnuHhZMMHF2ic3gxdcG,14.70968884,1470968884
81VQP5YNaqQ1y2zWheh7QL6JE1hDiktmNUnXa9XVMURJ,14.70411552,1470411552
477qPqeUYGJAK5DR6UE9dkBxNJFxJyfVpKVK1HGKn8vC,14.64151024,1464151024
GuBeRYNcB6QFtrPgfnrGSE4w3bFxVpz5Gg1B9FATjZgS,14.59827492,1459827492
9Ez7yq1RQfNNit6utQap62YS3CQzNJRjkR8dKSAHevbL,14.56279629,1456279629
Fu7nm8SMgmhucQLGzvoJPCm7imAekW6V664KndfRYS3F,14.54147316,1454147316
BVgSPy1vPD2PppPtLJ6qrumhApQLVJChMBDwc5rqT6xc,14.31138279,1431138279
JCZjJcmuWidrj5DwuJBxwqHx7zRfiBAp6nCLq3zYmBxd,14.13711582,1413711582
GHcmjpWiXXYDAv2jeQAaZwxQLCdkbyB38dYvuUguou5T,14.10538802,1410538802
J7jBM31USZzGPZGepFDekFxfSivewjyAXqrPCJ8KkoqZ,14.07946726,1407946726
8WdZxBUrTdRqadpRBeohpPVTMiDgFztX7hU2n1epC8vy,14.02008552,1402008552
2HnFWzjwiYMkMchGpHLKPmPKwTSXoEbJ1Rh2KuhYA2Sr,13.68392836,1368392836
CqAif7QP1BAqGWsbZWcntzuoUbjFqvzLHKnTDNp8opST,13.62995577,1362995577
8EwKMpZVQVCAxSNKwuXidU3gZbDw1c7soUnUenzXR5qC,13.61252131,1361252131
6ETQ6krEgJq8vedEGRmDSieRTyToLmST8gJDhiapR5Ug,13.46889122,1346889122
CbgQmcVWw15FSk5eZz3FffMozKnBUocDacwzFR6fGPdC,13.44409579,1344409579
eU39ooM9FipR58stfF3h6vCEjRruxKHDiHk2d5sMcQX,13.30386599,1330386599
Hg5s6g5Umzh5dLgVJEdV8X7PWx4qwz8PEfSeZ6VLnK2,13.1049007,1310490070
